user_id,recency,history_segment,history,mens,womens,zip_code,newbie,channel,promotion,outcome
52,9,2) $100 - $200,185.43,1,0,Urban,0,Web,Mens E-Mail,0
53,7,1) $0 - $100,29.99,0,1,Urban,1,Phone,Mens E-Mail,0
54,9,1) $0 - $100,78.62,1,0,Urban,0,Web,Mens E-Mail,0
55,12,2) $100 - $200,150.06,0,1,Surburban,0,Phone,No E-Mail,0
56,6,1) $0 - $100,42.66,1,0,Surburban,0,Web,No E-Mail,0
57,12,1) $0 - $100,69.08,0,1,Rural,0,Phone,Womens E-Mail,0
58,3,5) $500 - $750,549.29,1,0,Surburban,1,Multichannel,No E-Mail,0
59,9,5) $500 - $750,506.83,1,0,Rural,1,Multichannel,Mens E-Mail,0
60,3,2) $100 - $200,143.93,0,1,Surburban,0,Phone,Womens E-Mail,0
61,10,2) $100 - $200,115.4,1,0,Urban,0,Phone,Mens E-Mail,0
62,2,1) $0 - $100,96.91,1,0,Surburban,0,Phone,Womens E-Mail,0
63,6,1) $0 - $100,40.07,1,0,Surburban,1,Phone,Mens E-Mail,0
64,11,4) $350 - $500,417.21,0,1,Urban,0,Phone,No E-Mail,0
65,9,1) $0 - $100,61.57,1,0,Surburban,1,Phone,Womens E-Mail,0
66,5,3) $200 - $350,222.07,0,1,Surburban,0,Phone,Womens E-Mail,0
67,1,3) $200 - $350,259.91,0,1,Surburban,1,Web,No E-Mail,0
68,11,1) $0 - $100,53.81,1,0,Urban,1,Phone,No E-Mail,0
69,9,2) $100 - $200,154.15,0,1,Surburban,0,Web,Mens E-Mail,0
70,10,"7) $1,000 +",1009.44,1,0,Surburban,1,Multichannel,Womens E-Mail,0
71,2,3) $200 - $350,278.8,1,0,Rural,0,Web,Mens E-Mail,0
72,10,1) $0 - $100,31.12,1,0,Urban,0,Phone,Womens E-Mail,0
73,2,4) $350 - $500,428.74,1,0,Rural,0,Phone,Mens E-Mail,0
74,7,5) $500 - $750,612.28,1,0,Surburban,1,Phone,Womens E-Mail,0
75,11,3) $200 - $350,228.09,0,1,Surburban,1,Web,No E-Mail,0
76,1,5) $500 - $750,640.58,0,1,Urban,1,Phone,Mens E-Mail,0
77,4,2) $100 - $200,194.11,1,0,Urban,0,Phone,No E-Mail,0
78,7,1) $0 - $100,84.49,0,1,Urban,1,Web,No E-Mail,0
79,7,3) $200 - $350,235.14,0,1,Urban,1,Phone,Mens E-Mail,0
80,2,1) $0 - $100,29.99,0,1,Surburban,0,Phone,Mens E-Mail,0
81,7,3) $200 - $350,272.32,1,0,Surburban,1,Web,Mens E-Mail,0
82,2,1) $0 - $100,95.33,0,1,Surburban,0,Web,No E-Mail,0
83,5,4) $350 - $500,494.26,1,1,Surburban,1,Phone,Mens E-Mail,0
84,2,"6) $750 - $1,000",809.07,1,0,Urban,1,Phone,Mens E-Mail,0
85,1,1) $0 - $100,80.42,0,1,Urban,1,Phone,Womens E-Mail,0
86,10,3) $200 - $350,237.85,1,0,Urban,0,Web,Womens E-Mail,0
87,2,1) $0 - $100,82.59,1,0,Surburban,0,Phone,Womens E-Mail,0
88,6,2) $100 - $200,165.77,0,1,Urban,0,Web,Womens E-Mail,0
89,3,2) $100 - $200,101.61,0,1,Surburban,1,Phone,No E-Mail,0
90,8,1) $0 - $100,52.64,0,1,Surburban,1,Web,No E-Mail,0
91,6,4) $350 - $500,466.29,1,0,Urban,1,Multichannel,Mens E-Mail,0
92,3,2) $100 - $200,100.85,1,0,Urban,1,Phone,Mens E-Mail,0
93,3,"7) $1,000 +",1397.57,1,0,Surburban,1,Multichannel,Mens E-Mail,0
94,2,"6) $750 - $1,000",770.58,0,1,Surburban,1,Phone,Mens E-Mail,0
95,3,"7) $1,000 +",1973.87,1,0,Surburban,1,Multichannel,No E-Mail,0
96,3,2) $100 - $200,133.51,1,0,Urban,0,Web,Mens E-Mail,0
97,8,1) $0 - $100,31.52,0,1,Surburban,0,Web,Mens E-Mail,0
98,1,1) $0 - $100,47.44,0,1,Urban,0,Phone,Womens E-Mail,0
99,1,2) $100 - $200,106.27,0,1,Surburban,0,Web,Womens E-Mail,0
100,11,3) $200 - $350,215.46,0,1,Urban,0,Web,Womens E-Mail,0
101,11,2) $100 - $200,189.25,0,1,Urban,1,Phone,No E-Mail,0
102,10,2) $100 - $200,108.12,1,0,Urban,0,Web,Womens E-Mail,0
103,8,1) $0 - $100,66.14,1,0,Surburban,1,Phone,No E-Mail,0
104,8,1) $0 - $100,98.56,1,0,Surburban,1,Web,Womens E-Mail,0
105,6,2) $100 - $200,129.14,1,0,Surburban,0,Web,Womens E-Mail,0
106,2,4) $350 - $500,493.17,0,1,Surburban,0,Web,Womens E-Mail,0
107,11,2) $100 - $200,146.04,0,1,Surburban,1,Phone,Mens E-Mail,0
108,12,1) $0 - $100,29.99,0,1,Urban,1,Web,No E-Mail,0
109,2,1) $0 - $100,66.6,1,0,Urban,1,Phone,Womens E-Mail,0
110,12,2) $100 - $200,129.73,1,0,Surburban,0,Web,Womens E-Mail,0
111,4,1) $0 - $100,54.41,0,1,Urban,1,Phone,Womens E-Mail,0
112,9,"7) $1,000 +",1172.42,1,1,Surburban,1,Web,Mens E-Mail,0
113,5,3) $200 - $350,244.34,0,1,Urban,1,Web,Mens E-Mail,0
114,2,3) $200 - $350,287.04,1,1,Urban,1,Phone,Womens E-Mail,0
115,4,1) $0 - $100,29.99,0,1,Urban,1,Web,Womens E-Mail,0
116,9,2) $100 - $200,151.01,1,0,Surburban,0,Web,No E-Mail,0
117,11,1) $0 - $100,35.43,1,0,Urban,1,Phone,Mens E-Mail,0
118,5,1) $0 - $100,84.17,1,0,Urban,1,Web,Womens E-Mail,0
119,3,3) $200 - $350,313.6,0,1,Surburban,0,Phone,No E-Mail,0
120,1,2) $100 - $200,117.27,0,1,Rural,0,Phone,Mens E-Mail,0
121,5,1) $0 - $100,29.99,0,1,Surburban,0,Web,No E-Mail,0
122,3,"7) $1,000 +",1167.93,1,1,Rural,1,Web,Womens E-Mail,0
123,3,5) $500 - $750,683.2,1,1,Rural,1,Multichannel,No E-Mail,0
124,1,2) $100 - $200,110.07,0,1,Urban,0,Web,Mens E-Mail,0
125,1,2) $100 - $200,102.94,1,0,Urban,0,Web,Womens E-Mail,0
126,2,1) $0 - $100,29.99,0,1,Urban,0,Web,Mens E-Mail,0
127,11,2) $100 - $200,160.04,1,0,Rural,0,Web,Mens E-Mail,0
128,1,4) $350 - $500,418.68,0,1,Surburban,0,Web,No E-Mail,0
129,11,3) $200 - $350,316.23,1,0,Urban,1,Phone,Mens E-Mail,0
130,12,3) $200 - $350,253.06,0,1,Surburban,0,Phone,Womens E-Mail,0
131,9,3) $200 - $350,329.96,0,1,Surburban,1,Phone,No E-Mail,0
132,7,2) $100 - $200,185.73,1,0,Surburban,0,Phone,Mens E-Mail,0
133,11,1) $0 - $100,52.08,0,1,Urban,0,Web,Womens E-Mail,0
134,1,5) $500 - $750,616.73,0,1,Urban,1,Web,Mens E-Mail,0
135,9,2) $100 - $200,123.39,1,0,Urban,0,Phone,Womens E-Mail,0
136,3,3) $200 - $350,249.71,1,0,Surburban,0,Phone,No E-Mail,0
137,2,1) $0 - $100,46.09,0,1,Urban,0,Web,No E-Mail,0
138,8,1) $0 - $100,48.87,1,0,Surburban,1,Web,Mens E-Mail,0
139,10,1) $0 - $100,77.37,1,0,Surburban,0,Phone,Womens E-Mail,0
140,4,3) $200 - $350,270.24,1,0,Urban,1,Phone,No E-Mail,0
141,9,3) $200 - $350,228.8,1,0,Surburban,0,Multichannel,Mens E-Mail,0
142,3,1) $0 - $100,80.18,0,1,Urban,0,Phone,Womens E-Mail,0
143,11,2) $100 - $200,131.76,0,1,Surburban,1,Web,Womens E-Mail,0
144,9,2) $100 - $200,162.59,0,1,Urban,0,Phone,Mens E-Mail,0
145,12,1) $0 - $100,87.62,1,0,Urban,1,Phone,Mens E-Mail,0
146,3,1) $0 - $100,29.99,1,0,Surburban,0,Phone,Mens E-Mail,0
147,3,1) $0 - $100,29.99,0,1,Urban,0,Web,Womens E-Mail,0
148,7,1) $0 - $100,59.96,1,0,Urban,1,Web,Womens E-Mail,0
149,7,1) $0 - $100,78.49,0,1,Rural,0,Web,Womens E-Mail,0
150,2,1) $0 - $100,29.99,0,1,Surburban,0,Phone,Mens E-Mail,0
151,7,3) $200 - $350,206.8,1,0,Surburban,0,Phone,Womens E-Mail,0
152,7,3) $200 - $350,229.53,1,0,Surburban,0,Web,Mens E-Mail,0
153,1,4) $350 - $500,439.93,1,1,Rural,1,Multichannel,No E-Mail,0
154,10,3) $200 - $350,313.67,1,0,Rural,1,Phone,Womens E-Mail,0
155,7,1) $0 - $100,29.99,1,0,Surburban,1,Web,Womens E-Mail,0
156,3,1) $0 - $100,57.33,0,1,Surburban,0,Web,Womens E-Mail,0
157,2,3) $200 - $350,289.55,0,1,Rural,0,Phone,No E-Mail,0
158,5,1) $0 - $100,29.99,0,1,Surburban,1,Phone,Mens E-Mail,0
159,9,3) $200 - $350,274.29,1,0,Surburban,0,Web,No E-Mail,0
160,1,3) $200 - $350,293.37,1,0,Surburban,0,Phone,No E-Mail,0
161,12,1) $0 - $100,29.99,1,0,Urban,1,Phone,No E-Mail,0
162,1,4) $350 - $500,407.09,1,0,Surburban,0,Web,No E-Mail,0
163,1,2) $100 - $200,142.4,0,1,Surburban,0,Phone,No E-Mail,0
164,1,1) $0 - $100,29.99,0,1,Urban,1,Web,Mens E-Mail,0
165,12,3) $200 - $350,284.54,1,1,Surburban,0,Web,Mens E-Mail,0
166,2,1) $0 - $100,60.2,0,1,Surburban,1,Web,No E-Mail,0
167,4,"7) $1,000 +",1089.77,1,0,Urban,1,Multichannel,Mens E-Mail,0
168,7,1) $0 - $100,29.99,1,0,Surburban,1,Web,Womens E-Mail,0
169,1,5) $500 - $750,747.31,0,1,Rural,1,Web,Womens E-Mail,0
170,6,2) $100 - $200,136.63,1,0,Urban,1,Web,Womens E-Mail,0
171,10,1) $0 - $100,29.99,1,0,Rural,1,Web,Womens E-Mail,0
172,11,1) $0 - $100,54.11,1,0,Urban,1,Web,Womens E-Mail,0
173,1,"6) $750 - $1,000",790.36,1,1,Urban,1,Multichannel,Mens E-Mail,0
174,4,1) $0 - $100,36.49,1,0,Urban,1,Web,No E-Mail,0
175,12,3) $200 - $350,271.89,1,0,Rural,0,Web,Mens E-Mail,0
176,5,4) $350 - $500,399.46,1,0,Surburban,0,Web,Womens E-Mail,0
177,3,1) $0 - $100,39.83,0,1,Urban,1,Phone,Mens E-Mail,0
178,10,2) $100 - $200,153.58,1,0,Surburban,0,Phone,Womens E-Mail,0
179,5,3) $200 - $350,269.99,1,1,Surburban,0,Phone,Mens E-Mail,0
180,2,1) $0 - $100,29.99,1,0,Urban,1,Web,Womens E-Mail,0
181,4,3) $200 - $350,292.61,1,0,Surburban,0,Multichannel,No E-Mail,0
182,2,5) $500 - $750,576.02,0,1,Surburban,1,Web,Womens E-Mail,0
183,6,1) $0 - $100,29.99,1,0,Surburban,0,Web,No E-Mail,0
184,9,2) $100 - $200,116.3,1,0,Rural,1,Web,Mens E-Mail,0
185,5,1) $0 - $100,29.99,1,0,Surburban,0,Web,No E-Mail,0
186,3,1) $0 - $100,29.99,0,1,Urban,1,Web,No E-Mail,0
187,7,"6) $750 - $1,000",968.65,1,1,Surburban,1,Web,Womens E-Mail,0
188,7,1) $0 - $100,39.78,0,1,Surburban,0,Web,Mens E-Mail,0
189,9,3) $200 - $350,311.81,1,0,Urban,0,Multichannel,Womens E-Mail,0
190,1,5) $500 - $750,720.17,1,1,Urban,1,Phone,Mens E-Mail,0
191,4,1) $0 - $100,69.08,0,1,Urban,0,Phone,Mens E-Mail,0
192,12,1) $0 - $100,80.56,1,0,Urban,0,Web,Womens E-Mail,0
193,1,3) $200 - $350,301.19,1,0,Surburban,1,Web,No E-Mail,0
194,10,3) $200 - $350,307.64,0,1,Urban,0,Multichannel,Mens E-Mail,0
195,7,4) $350 - $500,481.56,1,0,Surburban,0,Web,Mens E-Mail,0
196,10,1) $0 - $100,29.99,0,1,Surburban,0,Web,No E-Mail,0
197,1,"6) $750 - $1,000",895.43,0,1,Surburban,1,Web,Womens E-Mail,0
198,5,4) $350 - $500,425.1,1,0,Rural,1,Phone,Mens E-Mail,0
199,10,1) $0 - $100,36.28,1,0,Urban,1,Web,No E-Mail,0
200,4,4) $350 - $500,413.46,0,1,Rural,0,Phone,Womens E-Mail,0
201,7,1) $0 - $100,32.42,1,0,Surburban,0,Phone,No E-Mail,0
202,10,2) $100 - $200,170.32,1,0,Urban,1,Phone,Womens E-Mail,0
203,1,2) $100 - $200,150.93,1,0,Surburban,0,Web,No E-Mail,0
204,11,3) $200 - $350,223.39,1,0,Rural,1,Phone,Womens E-Mail,0
205,1,5) $500 - $750,506.51,1,0,Urban,1,Multichannel,No E-Mail,0
206,8,5) $500 - $750,575.62,1,1,Urban,1,Multichannel,Mens E-Mail,0
207,3,1) $0 - $100,29.99,0,1,Surburban,0,Web,Womens E-Mail,0
208,2,2) $100 - $200,145.76,0,1,Surburban,1,Web,No E-Mail,0
209,1,1) $0 - $100,29.99,1,0,Rural,1,Phone,Womens E-Mail,0
210,8,4) $350 - $500,428,1,0,Surburban,1,Multichannel,No E-Mail,0
211,6,5) $500 - $750,604.39,1,1,Urban,1,Phone,No E-Mail,0
212,8,2) $100 - $200,171.88,1,0,Surburban,0,Phone,No E-Mail,0
213,4,4) $350 - $500,370.86,0,1,Surburban,0,Multichannel,Womens E-Mail,0
214,8,2) $100 - $200,138.62,0,1,Urban,1,Web,Womens E-Mail,0
215,7,1) $0 - $100,29.99,1,0,Surburban,1,Web,Mens E-Mail,0
216,1,3) $200 - $350,209.98,1,0,Surburban,0,Web,No E-Mail,0
217,3,2) $100 - $200,166,0,1,Urban,0,Web,No E-Mail,0
218,10,1) $0 - $100,88.37,0,1,Urban,0,Phone,Womens E-Mail,29.99
219,8,3) $200 - $350,336.76,0,1,Surburban,0,Phone,Mens E-Mail,0
220,1,1) $0 - $100,60.71,0,1,Rural,1,Phone,Womens E-Mail,0
221,4,4) $350 - $500,356.73,0,1,Surburban,0,Web,No E-Mail,0
222,4,1) $0 - $100,52.12,1,0,Urban,0,Phone,Mens E-Mail,0
223,7,4) $350 - $500,406.7,0,1,Surburban,1,Phone,Mens E-Mail,0
224,6,3) $200 - $350,277.81,1,0,Surburban,1,Multichannel,No E-Mail,0
225,1,2) $100 - $200,181.98,0,1,Urban,1,Web,Mens E-Mail,0
226,2,2) $100 - $200,112.13,1,0,Urban,1,Web,Womens E-Mail,0
227,5,1) $0 - $100,29.99,0,1,Rural,1,Web,No E-Mail,0
228,5,4) $350 - $500,439.26,1,0,Surburban,0,Multichannel,Womens E-Mail,0
229,8,1) $0 - $100,64.16,0,1,Surburban,0,Web,Womens E-Mail,0
230,5,1) $0 - $100,29.99,0,1,Surburban,0,Web,No E-Mail,0
231,6,1) $0 - $100,29.99,0,1,Urban,1,Web,Mens E-Mail,0
232,2,5) $500 - $750,591.95,0,1,Urban,1,Multichannel,Womens E-Mail,0
233,8,2) $100 - $200,130.31,1,0,Surburban,1,Phone,No E-Mail,0
234,3,1) $0 - $100,65.26,1,0,Urban,0,Web,Mens E-Mail,0
235,10,2) $100 - $200,132.46,1,0,Urban,0,Phone,Womens E-Mail,0
236,4,3) $200 - $350,225.89,1,1,Rural,1,Web,Womens E-Mail,0
237,2,2) $100 - $200,115.56,0,1,Surburban,1,Web,No E-Mail,0
238,8,2) $100 - $200,104.94,0,1,Urban,0,Phone,No E-Mail,0
239,7,1) $0 - $100,69.44,1,0,Rural,0,Web,Mens E-Mail,0
240,10,1) $0 - $100,47.47,0,1,Surburban,0,Phone,Womens E-Mail,0
241,1,3) $200 - $350,215.08,0,1,Surburban,0,Web,Womens E-Mail,0
242,2,3) $200 - $350,224.89,1,1,Urban,0,Multichannel,No E-Mail,0
243,9,3) $200 - $350,201.75,1,1,Surburban,0,Phone,Womens E-Mail,0
244,5,4) $350 - $500,354.03,1,0,Urban,0,Web,Mens E-Mail,0
245,10,2) $100 - $200,151.43,1,0,Urban,0,Web,No E-Mail,0
246,11,2) $100 - $200,120.14,1,0,Urban,0,Web,Mens E-Mail,0
247,5,2) $100 - $200,159.41,0,1,Surburban,1,Phone,Womens E-Mail,0
248,5,3) $200 - $350,290.86,1,0,Urban,1,Web,No E-Mail,0
249,4,1) $0 - $100,87.2,0,1,Surburban,1,Phone,Womens E-Mail,0
250,11,1) $0 - $100,81.06,1,0,Urban,0,Web,Mens E-Mail,0
251,10,1) $0 - $100,55.11,1,0,Urban,1,Web,Mens E-Mail,0
252,1,5) $500 - $750,513.83,0,1,Surburban,1,Multichannel,Mens E-Mail,0
253,4,"6) $750 - $1,000",770.38,0,1,Rural,1,Multichannel,No E-Mail,0
254,1,1) $0 - $100,33.5,1,0,Surburban,0,Web,Mens E-Mail,0
255,2,1) $0 - $100,56.25,1,0,Surburban,1,Phone,Mens E-Mail,0
256,2,"7) $1,000 +",1093.92,1,1,Surburban,1,Web,No E-Mail,0
257,1,"6) $750 - $1,000",752.8,1,1,Urban,1,Phone,No E-Mail,0
258,2,2) $100 - $200,199.95,1,0,Surburban,1,Phone,No E-Mail,0
259,9,3) $200 - $350,239.91,0,1,Rural,0,Phone,No E-Mail,0
260,8,1) $0 - $100,43.16,0,1,Urban,1,Phone,No E-Mail,0
261,2,4) $350 - $500,418.81,0,1,Surburban,0,Multichannel,No E-Mail,0
262,9,3) $200 - $350,318.52,0,1,Urban,0,Web,Womens E-Mail,0
263,1,2) $100 - $200,109.26,0,1,Surburban,1,Web,Womens E-Mail,0
264,3,1) $0 - $100,67.4,1,0,Surburban,0,Web,Mens E-Mail,0
265,9,2) $100 - $200,135.02,1,0,Surburban,1,Web,Womens E-Mail,0
266,10,1) $0 - $100,54.25,0,1,Surburban,0,Web,Mens E-Mail,0
267,3,1) $0 - $100,55.34,1,0,Surburban,1,Phone,Womens E-Mail,0
268,4,3) $200 - $350,297.8,1,1,Urban,0,Phone,Womens E-Mail,264.66
269,4,2) $100 - $200,146.49,0,1,Surburban,0,Phone,Womens E-Mail,0
270,7,3) $200 - $350,329.26,0,1,Urban,0,Web,Mens E-Mail,0
271,1,1) $0 - $100,29.99,1,0,Rural,1,Phone,Mens E-Mail,0
272,4,3) $200 - $350,249.61,0,1,Urban,1,Phone,Womens E-Mail,0
273,5,1) $0 - $100,39.52,1,0,Surburban,1,Phone,Mens E-Mail,0
274,1,3) $200 - $350,307.58,1,0,Surburban,0,Multichannel,No E-Mail,0
275,6,1) $0 - $100,92.32,0,1,Urban,0,Phone,Mens E-Mail,0
276,6,4) $350 - $500,464.17,0,1,Surburban,0,Multichannel,Womens E-Mail,0
277,6,1) $0 - $100,29.99,1,0,Surburban,1,Web,Womens E-Mail,0
278,2,4) $350 - $500,435.33,0,1,Surburban,0,Web,Womens E-Mail,0
279,10,4) $350 - $500,375.9,0,1,Urban,0,Web,Mens E-Mail,0
280,9,1) $0 - $100,29.99,1,0,Urban,0,Web,Mens E-Mail,0
281,9,3) $200 - $350,220.51,1,0,Urban,0,Multichannel,Mens E-Mail,0
282,5,2) $100 - $200,180.28,0,1,Surburban,0,Phone,Womens E-Mail,0
283,6,1) $0 - $100,78.69,0,1,Surburban,0,Phone,Mens E-Mail,0
284,2,4) $350 - $500,350.48,1,0,Urban,1,Web,Womens E-Mail,0
285,3,4) $350 - $500,376.14,1,0,Surburban,0,Phone,No E-Mail,0
286,1,2) $100 - $200,179.63,1,0,Surburban,0,Phone,Mens E-Mail,0
287,6,2) $100 - $200,164.51,1,0,Surburban,0,Phone,Womens E-Mail,0
288,8,1) $0 - $100,59.76,0,1,Urban,1,Web,Mens E-Mail,0
289,11,1) $0 - $100,29.99,0,1,Surburban,0,Web,Womens E-Mail,0
290,2,4) $350 - $500,407.64,0,1,Urban,1,Web,Womens E-Mail,0
291,1,2) $100 - $200,143,0,1,Urban,0,Phone,Womens E-Mail,0
292,4,3) $200 - $350,320.17,0,1,Urban,1,Phone,Mens E-Mail,0
293,1,2) $100 - $200,103.07,1,0,Surburban,0,Web,Mens E-Mail,0
294,10,1) $0 - $100,35.84,1,0,Urban,1,Phone,No E-Mail,0
295,3,2) $100 - $200,190.66,0,1,Surburban,1,Web,Womens E-Mail,0
296,2,1) $0 - $100,90.91,1,0,Surburban,0,Web,Mens E-Mail,0
297,5,3) $200 - $350,215.03,0,1,Urban,1,Web,No E-Mail,0
298,1,"6) $750 - $1,000",856.4,0,1,Urban,1,Web,No E-Mail,0
299,10,2) $100 - $200,139.83,1,0,Urban,1,Phone,Mens E-Mail,0
300,10,3) $200 - $350,245.09,1,0,Urban,0,Multichannel,No E-Mail,0
301,6,2) $100 - $200,127.2,0,1,Surburban,0,Phone,No E-Mail,0
302,1,4) $350 - $500,470.65,1,0,Urban,0,Phone,Mens E-Mail,0
303,1,1) $0 - $100,59.13,1,0,Urban,1,Web,Mens E-Mail,0
304,3,3) $200 - $350,327.1,1,0,Surburban,1,Web,No E-Mail,0
305,1,4) $350 - $500,399.72,1,1,Surburban,0,Phone,Mens E-Mail,0
306,3,1) $0 - $100,29.99,1,0,Urban,0,Phone,No E-Mail,0
307,6,4) $350 - $500,398.03,1,1,Surburban,0,Phone,No E-Mail,0
308,4,2) $100 - $200,134.24,0,1,Urban,0,Web,Mens E-Mail,0
309,10,3) $200 - $350,290.55,0,1,Surburban,0,Web,Mens E-Mail,0
310,7,1) $0 - $100,29.99,1,0,Surburban,0,Web,No E-Mail,0
311,4,1) $0 - $100,87.69,1,0,Surburban,0,Web,Mens E-Mail,0
312,10,3) $200 - $350,335.77,0,1,Rural,0,Multichannel,Womens E-Mail,0
313,12,4) $350 - $500,465.37,0,1,Rural,1,Multichannel,No E-Mail,0
314,12,1) $0 - $100,75.26,1,0,Urban,1,Phone,Womens E-Mail,0
315,10,3) $200 - $350,327.18,0,1,Urban,0,Phone,Womens E-Mail,0
316,1,2) $100 - $200,188.89,0,1,Surburban,1,Web,No E-Mail,0
317,4,1) $0 - $100,49.8,1,0,Urban,1,Web,Mens E-Mail,0
318,7,5) $500 - $750,688.51,1,1,Rural,1,Multichannel,Womens E-Mail,0
319,3,3) $200 - $350,229.42,0,1,Rural,0,Multichannel,No E-Mail,0
320,1,3) $200 - $350,253.18,0,1,Surburban,0,Multichannel,Mens E-Mail,0
321,2,2) $100 - $200,156.4,0,1,Surburban,0,Web,Mens E-Mail,0
322,2,2) $100 - $200,196.93,0,1,Rural,1,Web,Womens E-Mail,0
323,4,5) $500 - $750,557.47,1,0,Urban,1,Web,No E-Mail,0
324,12,2) $100 - $200,177.66,1,0,Surburban,0,Phone,Womens E-Mail,0
325,9,1) $0 - $100,29.99,0,1,Surburban,0,Phone,Womens E-Mail,0
326,11,2) $100 - $200,140.07,0,1,Urban,1,Web,Mens E-Mail,0
327,10,2) $100 - $200,168.04,1,0,Urban,0,Web,No E-Mail,0
328,5,2) $100 - $200,173.65,1,0,Urban,0,Web,Womens E-Mail,0
329,4,2) $100 - $200,164.7,1,0,Surburban,0,Phone,No E-Mail,0
330,2,1) $0 - $100,57.53,1,0,Urban,1,Phone,No E-Mail,0
331,10,1) $0 - $100,29.99,1,0,Urban,0,Web,Womens E-Mail,0
332,3,2) $100 - $200,188.19,1,0,Urban,0,Phone,Mens E-Mail,0
333,10,1) $0 - $100,29.99,0,1,Surburban,0,Web,No E-Mail,149.28
